Wed Nov 15 2017 08:58:49 GMT+0600 (Bangladesh Standard Time), Line 1, 30.85 C
Wed Nov 15 2017 09:16:29 GMT+0600 (Bangladesh Standard Time), Line 22, 42.84 %
Wed Nov 15 2017 09:16:29 GMT+0600 (Bangladesh Standard Time), Line 33, 23.40 
Wed Nov 15 2017 09:16:29 GMT+0600 (Bangladesh Standard Time), Line 66, 38.44 C
Wed Nov 15 2017 09:16:30 GMT+0600 (Bangladesh Standard Time), Line 67, 37.26 C
Wed Nov 15 2017 09:16:31 GMT+0600 (Bangladesh Standard Time), Line 34, 5.84 
Wed Nov 15 2017 09:16:31 GMT+0600 (Bangladesh Standard Time), Line 68, 36.39 C
Wed Nov 15 2017 09:16:32 GMT+0600 (Bangladesh Standard Time), Line 23, 59.55 %
Wed Nov 15 2017 09:16:32 GMT+0600 (Bangladesh Standard Time), Line 69, 36.78 C
Wed Nov 15 2017 09:16:33 GMT+0600 (Bangladesh Standard Time), Line 35, 6.92 
Wed Nov 15 2017 09:16:33 GMT+0600 (Bangladesh Standard Time), Line 70, 38.61 C
Wed Nov 15 2017 09:16:34 GMT+0600 (Bangladesh Standard Time), Line 71, 32.53 C
Wed Nov 15 2017 09:16:35 GMT+0600 (Bangladesh Standard Time), Line 24, 59.05 %
Wed Nov 15 2017 09:16:35 GMT+0600 (Bangladesh Standard Time), Line 36, 61.43 
Wed Nov 15 2017 09:16:35 GMT+0600 (Bangladesh Standard Time), Line 72, 33.91 C
Wed Nov 15 2017 09:16:36 GMT+0600 (Bangladesh Standard Time), Line 73, 43.86 C
Wed Nov 15 2017 09:16:37 GMT+0600 (Bangladesh Standard Time), Line 37, 29.19 
Wed Nov 15 2017 09:16:37 GMT+0600 (Bangladesh Standard Time), Line 74, 33.41 C
Wed Nov 15 2017 09:16:38 GMT+0600 (Bangladesh Standard Time), Line 25, 80.03 %
Wed Nov 15 2017 09:16:38 GMT+0600 (Bangladesh Standard Time), Line 75, 34.54 C
Wed Nov 15 2017 09:16:39 GMT+0600 (Bangladesh Standard Time), Line 38, 87.56 
Wed Nov 15 2017 09:16:39 GMT+0600 (Bangladesh Standard Time), Line 76, 44.75 C
Wed Nov 15 2017 09:16:40 GMT+0600 (Bangladesh Standard Time), Line 77, 32.62 C
Wed Nov 15 2017 09:16:41 GMT+0600 (Bangladesh Standard Time), Line 26, 60.31 %
Wed Nov 15 2017 09:16:41 GMT+0600 (Bangladesh Standard Time), Line 39, 24.79 
Wed Nov 15 2017 09:16:41 GMT+0600 (Bangladesh Standard Time), Line 78, 38.45 C
Wed Nov 15 2017 09:16:42 GMT+0600 (Bangladesh Standard Time), Line 79, 33.09 C
Wed Nov 15 2017 09:16:43 GMT+0600 (Bangladesh Standard Time), Line 40, 69.01 
Wed Nov 15 2017 09:16:43 GMT+0600 (Bangladesh Standard Time), Line 80, 30.52 C
Wed Nov 15 2017 09:16:44 GMT+0600 (Bangladesh Standard Time), Line 27, 59.51 %
Wed Nov 15 2017 09:16:44 GMT+0600 (Bangladesh Standard Time), Line 81, 30.00 C
Wed Nov 15 2017 09:16:45 GMT+0600 (Bangladesh Standard Time), Line 41, 47.60 
Wed Nov 15 2017 09:16:45 GMT+0600 (Bangladesh Standard Time), Line 82, 40.64 C
Wed Nov 15 2017 09:16:46 GMT+0600 (Bangladesh Standard Time), Line 83, 32.49 C
Wed Nov 15 2017 09:16:47 GMT+0600 (Bangladesh Standard Time), Line 28, 67.58 %
Wed Nov 15 2017 09:16:47 GMT+0600 (Bangladesh Standard Time), Line 42, 58.75 
Wed Nov 15 2017 09:16:47 GMT+0600 (Bangladesh Standard Time), Line 84, 32.35 C
Wed Nov 15 2017 09:16:48 GMT+0600 (Bangladesh Standard Time), Line 85, 36.41 C
Wed Nov 15 2017 09:16:49 GMT+0600 (Bangladesh Standard Time), Line 43, 42.40 
Wed Nov 15 2017 09:16:49 GMT+0600 (Bangladesh Standard Time), Line 86, 36.97 C
Wed Nov 15 2017 09:16:50 GMT+0600 (Bangladesh Standard Time), Line 29, 67.24 %
Wed Nov 15 2017 09:16:50 GMT+0600 (Bangladesh Standard Time), Line 87, 31.63 C
Wed Nov 15 2017 09:16:51 GMT+0600 (Bangladesh Standard Time), Line 44, 39.75 
Wed Nov 15 2017 09:16:51 GMT+0600 (Bangladesh Standard Time), Line 88, 31.44 C
Wed Nov 15 2017 09:16:52 GMT+0600 (Bangladesh Standard Time), Line 89, 42.85 C
Wed Nov 15 2017 09:16:53 GMT+0600 (Bangladesh Standard Time), Line 30, 88.66 %
Wed Nov 15 2017 09:16:53 GMT+0600 (Bangladesh Standard Time), Line 45, 3.37 
Wed Nov 15 2017 09:16:53 GMT+0600 (Bangladesh Standard Time), Line 90, 41.26 C
Wed Nov 15 2017 09:16:54 GMT+0600 (Bangladesh Standard Time), Line 91, 32.86 C
Wed Nov 15 2017 09:16:55 GMT+0600 (Bangladesh Standard Time), Line 46, 64.95 
Wed Nov 15 2017 09:16:55 GMT+0600 (Bangladesh Standard Time), Line 92, 42.75 C
Wed Nov 15 2017 09:16:56 GMT+0600 (Bangladesh Standard Time), Line 31, 79.14 %
Wed Nov 15 2017 09:16:56 GMT+0600 (Bangladesh Standard Time), Line 93, 42.45 C
Wed Nov 15 2017 09:16:57 GMT+0600 (Bangladesh Standard Time), Line 47, 4.94 
Wed Nov 15 2017 09:16:57 GMT+0600 (Bangladesh Standard Time), Line 94, 42.69 C
Wed Nov 15 2017 09:16:58 GMT+0600 (Bangladesh Standard Time), Line 95, 42.55 C
Wed Nov 15 2017 09:16:59 GMT+0600 (Bangladesh Standard Time), Line 32, 90.15 %
Wed Nov 15 2017 09:16:59 GMT+0600 (Bangladesh Standard Time), Line 48, 31.37 
Wed Nov 15 2017 09:16:59 GMT+0600 (Bangladesh Standard Time), Line 96, 32.36 C
Wed Nov 15 2017 09:17:00 GMT+0600 (Bangladesh Standard Time), Line 97, 36.78 C
Wed Nov 15 2017 09:17:01 GMT+0600 (Bangladesh Standard Time), Line 49, 65.86 
Wed Nov 15 2017 09:17:01 GMT+0600 (Bangladesh Standard Time), Line 98, 37.67 C
Wed Nov 15 2017 09:17:02 GMT+0600 (Bangladesh Standard Time), Line 33, 74.07 %
Wed Nov 15 2017 09:17:02 GMT+0600 (Bangladesh Standard Time), Line 99, 44.50 C
Wed Nov 15 2017 09:17:03 GMT+0600 (Bangladesh Standard Time), Line 50, 87.85 
Wed Nov 15 2017 09:17:03 GMT+0600 (Bangladesh Standard Time), 
Wed Nov 15 2017 09:17:05 GMT+0600 (Bangladesh Standard Time), Line 34, 67.99 %
Wed Nov 15 2017 09:17:05 GMT+0600 (Bangladesh Standard Time), Line 51, 61.81 
Wed Nov 15 2017 09:17:07 GMT+0600 (Bangladesh Standard Time), Line 52, 65.51 
Wed Nov 15 2017 09:17:08 GMT+0600 (Bangladesh Standard Time), Line 35, 57.18 %
Wed Nov 15 2017 09:17:09 GMT+0600 (Bangladesh Standard Time), Line 53, 69.64 
Wed Nov 15 2017 09:17:11 GMT+0600 (Bangladesh Standard Time), Line 36, 52.28 %
Wed Nov 15 2017 09:17:11 GMT+0600 (Bangladesh Standard Time), Line 54, 81.28 
Wed Nov 15 2017 09:17:13 GMT+0600 (Bangladesh Standard Time), Line 55, 48.83 
Wed Nov 15 2017 09:17:14 GMT+0600 (Bangladesh Standard Time), Line 37, 83.91 %
Wed Nov 15 2017 09:17:15 GMT+0600 (Bangladesh Standard Time), Line 56, 43.58 
Wed Nov 15 2017 09:17:17 GMT+0600 (Bangladesh Standard Time), Line 38, 50.31 %
Wed Nov 15 2017 09:17:17 GMT+0600 (Bangladesh Standard Time), Line 57, 49.85 
Wed Nov 15 2017 09:17:19 GMT+0600 (Bangladesh Standard Time), Line 58, 21.61 
Wed Nov 15 2017 09:17:20 GMT+0600 (Bangladesh Standard Time), Line 39, 75.17 %
Wed Nov 15 2017 09:17:21 GMT+0600 (Bangladesh Standard Time), Line 59, 77.71 
Wed Nov 15 2017 09:17:23 GMT+0600 (Bangladesh Standard Time), Line 40, 97.87 %
Wed Nov 15 2017 09:17:23 GMT+0600 (Bangladesh Standard Time), Line 60, 22.57 
Wed Nov 15 2017 09:17:25 GMT+0600 (Bangladesh Standard Time), Line 61, 75.88 
Wed Nov 15 2017 09:17:26 GMT+0600 (Bangladesh Standard Time), Line 41, 67.46 %
Wed Nov 15 2017 09:17:27 GMT+0600 (Bangladesh Standard Time), Line 62, 98.93 
Wed Nov 15 2017 09:17:29 GMT+0600 (Bangladesh Standard Time), Line 42, humidity reding71.46 %
Wed Nov 15 2017 09:17:29 GMT+0600 (Bangladesh Standard Time), Line 63, accelorometer reading39.94 
Wed Nov 15 2017 09:17:29 GMT+0600 (Bangladesh Standard Time), Line 1, temperature reading35.91 C
Wed Nov 15 2017 09:17:30 GMT+0600 (Bangladesh Standard Time), Line 1, accelorometer reading64.75 
Wed Nov 15 2017 09:17:30 GMT+0600 (Bangladesh Standard Time), Line 2, temperature reading33.07 C
Wed Nov 15 2017 09:17:31 GMT+0600 (Bangladesh Standard Time), Line 1, humidity reding48.46 %
Wed Nov 15 2017 09:17:31 GMT+0600 (Bangladesh Standard Time), Line 3, temperature reading38.19 C
Wed Nov 15 2017 09:17:31 GMT+0600 (Bangladesh Standard Time), Line 64, accelorometer reading47.99 
Wed Nov 15 2017 09:17:32 GMT+0600 (Bangladesh Standard Time), Line 43, humidity reding70.89 %
Wed Nov 15 2017 09:17:32 GMT+0600 (Bangladesh Standard Time), Line 2, accelorometer reading79.45 
Wed Nov 15 2017 09:17:32 GMT+0600 (Bangladesh Standard Time), Line 4, temperature reading38.01 C
Wed Nov 15 2017 09:17:33 GMT+0600 (Bangladesh Standard Time), Line 5, temperature reading35.61 C
Wed Nov 15 2017 09:17:33 GMT+0600 (Bangladesh Standard Time), Line 65, accelorometer reading59.80 
Wed Nov 15 2017 09:17:34 GMT+0600 (Bangladesh Standard Time), Line 3, accelorometer reading1.87 
Wed Nov 15 2017 09:17:34 GMT+0600 (Bangladesh Standard Time), Line 2, humidity reding84.72 %
Wed Nov 15 2017 09:17:34 GMT+0600 (Bangladesh Standard Time), Line 6, temperature reading33.17 C
Wed Nov 15 2017 09:17:35 GMT+0600 (Bangladesh Standard Time), Line 44, humidity reding68.30 %
Wed Nov 15 2017 09:17:35 GMT+0600 (Bangladesh Standard Time), Line 7, temperature reading42.72 C
Wed Nov 15 2017 09:17:35 GMT+0600 (Bangladesh Standard Time), Line 66, accelorometer reading48.28 
Wed Nov 15 2017 09:17:36 GMT+0600 (Bangladesh Standard Time), Line 4, accelorometer reading85.70 
Wed Nov 15 2017 09:17:36 GMT+0600 (Bangladesh Standard Time), Line 8, temperature reading38.88 C
Wed Nov 15 2017 09:17:37 GMT+0600 (Bangladesh Standard Time), Line 3, humidity reding69.80 %
Wed Nov 15 2017 09:17:37 GMT+0600 (Bangladesh Standard Time), Line 9, temperature reading44.82 C
Wed Nov 15 2017 09:17:37 GMT+0600 (Bangladesh Standard Time), Line 67, accelorometer reading90.84 
Wed Nov 15 2017 09:17:38 GMT+0600 (Bangladesh Standard Time), Line 45, humidity reding75.26 %
Wed Nov 15 2017 09:17:38 GMT+0600 (Bangladesh Standard Time), Line 5, accelorometer reading80.76 
Wed Nov 15 2017 09:17:38 GMT+0600 (Bangladesh Standard Time), Line 10, temperature reading38.54 C
Wed Nov 15 2017 09:17:39 GMT+0600 (Bangladesh Standard Time), Line 68, accelorometer reading43.44 
Wed Nov 15 2017 09:17:39 GMT+0600 (Bangladesh Standard Time), Line 11, temperature reading33.30 C
Wed Nov 15 2017 09:17:41 GMT+0600 (Bangladesh Standard Time), Line 46, humidity reding43.00 %
Wed Nov 15 2017 09:17:41 GMT+0600 (Bangladesh Standard Time), Line 69, accelorometer reading67.36 
Wed Nov 15 2017 09:17:43 GMT+0600 (Bangladesh Standard Time), Line 70, accelorometer reading78.13 
Wed Nov 15 2017 09:17:44 GMT+0600 (Bangladesh Standard Time), Line 47, humidity reding72.88 %
Wed Nov 15 2017 09:17:45 GMT+0600 (Bangladesh Standard Time), Line 71, accelorometer reading47.66 
Wed Nov 15 2017 09:17:47 GMT+0600 (Bangladesh Standard Time), Line 48, humidity reding58.32 %
Wed Nov 15 2017 09:17:47 GMT+0600 (Bangladesh Standard Time), Line 72, accelorometer reading14.53 
Wed Nov 15 2017 09:17:49 GMT+0600 (Bangladesh Standard Time), Line 73, accelorometer reading84.97 
Wed Nov 15 2017 09:17:50 GMT+0600 (Bangladesh Standard Time), Line 49, humidity reding55.29 %
Wed Nov 15 2017 09:17:51 GMT+0600 (Bangladesh Standard Time), Line 74, accelorometer reading84.66 
Wed Nov 15 2017 09:17:53 GMT+0600 (Bangladesh Standard Time), Line 50, humidity reding97.26 %
Wed Nov 15 2017 09:17:53 GMT+0600 (Bangladesh Standard Time), Line 75, accelorometer reading3.92 
Wed Nov 15 2017 09:17:55 GMT+0600 (Bangladesh Standard Time), Line 76, accelorometer reading56.61 
Wed Nov 15 2017 09:17:56 GMT+0600 (Bangladesh Standard Time), Line 51, humidity reding52.18 %
Wed Nov 15 2017 09:17:57 GMT+0600 (Bangladesh Standard Time), Line 77, accelorometer reading79.98 
Wed Nov 15 2017 09:17:59 GMT+0600 (Bangladesh Standard Time), Line 52, humidity reding40.31 %
Wed Nov 15 2017 09:17:59 GMT+0600 (Bangladesh Standard Time), Line 78, accelorometer reading20.64 
Wed Nov 15 2017 09:18:00 GMT+0600 (Bangladesh Standard Time), Line 1, temperature reading 34.98 C
Wed Nov 15 2017 09:18:01 GMT+0600 (Bangladesh Standard Time), Line 79, accelorometer reading 54.08 
Wed Nov 15 2017 09:18:01 GMT+0600 (Bangladesh Standard Time), Line 1, accelorometer reading 68.46 
Wed Nov 15 2017 09:18:01 GMT+0600 (Bangladesh Standard Time), Line 2, temperature reading 35.54 C
Wed Nov 15 2017 09:18:02 GMT+0600 (Bangladesh Standard Time), Line 53, humidity reding 40.61 %
Wed Nov 15 2017 09:18:02 GMT+0600 (Bangladesh Standard Time), Line 1, humidity reding 76.40 %
Wed Nov 15 2017 09:18:02 GMT+0600 (Bangladesh Standard Time), Line 3, temperature reading 38.60 C
Wed Nov 15 2017 09:18:03 GMT+0600 (Bangladesh Standard Time), Line 80, accelorometer reading 85.60 
Wed Nov 15 2017 09:18:03 GMT+0600 (Bangladesh Standard Time), Line 2, accelorometer reading 72.97 
Wed Nov 15 2017 09:18:03 GMT+0600 (Bangladesh Standard Time), Line 4, temperature reading 36.40 C
Wed Nov 15 2017 09:18:04 GMT+0600 (Bangladesh Standard Time), Line 5, temperature reading 42.06 C
Wed Nov 15 2017 09:18:05 GMT+0600 (Bangladesh Standard Time), Line 54, humidity reding 57.10 %
Wed Nov 15 2017 09:18:05 GMT+0600 (Bangladesh Standard Time), Line 81, accelorometer reading 63.48 
Wed Nov 15 2017 09:18:05 GMT+0600 (Bangladesh Standard Time), Line 2, humidity reding 59.14 %
Wed Nov 15 2017 09:18:05 GMT+0600 (Bangladesh Standard Time), Line 3, accelorometer reading 39.44 
Wed Nov 15 2017 09:18:05 GMT+0600 (Bangladesh Standard Time), Line 6, temperature reading 32.43 C
Wed Nov 15 2017 09:18:06 GMT+0600 (Bangladesh Standard Time), Line 7, temperature reading 36.87 C
Wed Nov 15 2017 09:18:07 GMT+0600 (Bangladesh Standard Time), Line 82, accelorometer reading 42.56 
Wed Nov 15 2017 09:18:07 GMT+0600 (Bangladesh Standard Time), Line 4, accelorometer reading 1.75 
Wed Nov 15 2017 09:18:07 GMT+0600 (Bangladesh Standard Time), Line 8, temperature reading 43.63 C
Wed Nov 15 2017 09:18:08 GMT+0600 (Bangladesh Standard Time), Line 55, humidity reding 93.70 %
Wed Nov 15 2017 09:18:08 GMT+0600 (Bangladesh Standard Time), Line 3, humidity reding 88.51 %
Wed Nov 15 2017 09:18:08 GMT+0600 (Bangladesh Standard Time), Line 9, temperature reading 44.17 C
Wed Nov 15 2017 09:18:09 GMT+0600 (Bangladesh Standard Time), Line 83, accelorometer reading 96.64 
Wed Nov 15 2017 09:18:09 GMT+0600 (Bangladesh Standard Time), Line 5, accelorometer reading 47.29 
Wed Nov 15 2017 09:18:09 GMT+0600 (Bangladesh Standard Time), Line 10, temperature reading 35.19 C
Wed Nov 15 2017 09:18:10 GMT+0600 (Bangladesh Standard Time), Line 11, temperature reading 36.51 C
Wed Nov 15 2017 09:18:11 GMT+0600 (Bangladesh Standard Time), Line 56, humidity reding 80.78 %
Wed Nov 15 2017 09:18:11 GMT+0600 (Bangladesh Standard Time), Line 84, accelorometer reading 56.03 
Wed Nov 15 2017 09:18:11 GMT+0600 (Bangladesh Standard Time), Line 4, humidity reding 94.45 %
Wed Nov 15 2017 09:18:11 GMT+0600 (Bangladesh Standard Time), Line 6, accelorometer reading 78.53 
Wed Nov 15 2017 09:18:11 GMT+0600 (Bangladesh Standard Time), Line 12, temperature reading 37.94 C
Wed Nov 15 2017 09:18:12 GMT+0600 (Bangladesh Standard Time), Line 13, temperature reading 40.29 C
Wed Nov 15 2017 09:18:13 GMT+0600 (Bangladesh Standard Time), Line 85, accelorometer reading 45.31 
Wed Nov 15 2017 09:18:13 GMT+0600 (Bangladesh Standard Time), Line 7, accelorometer reading 33.85 
Wed Nov 15 2017 09:18:13 GMT+0600 (Bangladesh Standard Time), Line 14, temperature reading 35.88 C
Wed Nov 15 2017 09:18:14 GMT+0600 (Bangladesh Standard Time), Line 57, humidity reding 53.40 %
Wed Nov 15 2017 09:18:14 GMT+0600 (Bangladesh Standard Time), Line 5, humidity reding 92.58 %
Wed Nov 15 2017 09:18:14 GMT+0600 (Bangladesh Standard Time), Line 15, temperature reading 39.89 C
Wed Nov 15 2017 09:18:15 GMT+0600 (Bangladesh Standard Time), Line 86, accelorometer reading 81.35 
Wed Nov 15 2017 09:18:15 GMT+0600 (Bangladesh Standard Time), Line 8, accelorometer reading 17.97 
Wed Nov 15 2017 09:18:15 GMT+0600 (Bangladesh Standard Time), Line 16, temperature reading 35.69 C
Wed Nov 15 2017 09:18:16 GMT+0600 (Bangladesh Standard Time), Line 17, temperature reading 39.44 C
Wed Nov 15 2017 09:18:17 GMT+0600 (Bangladesh Standard Time), Line 58, humidity reding 91.61 %
Wed Nov 15 2017 09:18:17 GMT+0600 (Bangladesh Standard Time), Line 87, accelorometer reading 40.88 
Wed Nov 15 2017 09:18:17 GMT+0600 (Bangladesh Standard Time), Line 6, humidity reding 99.85 %
Wed Nov 15 2017 09:18:17 GMT+0600 (Bangladesh Standard Time), Line 9, accelorometer reading 92.04 
Wed Nov 15 2017 09:18:17 GMT+0600 (Bangladesh Standard Time), Line 18, temperature reading 31.38 C
Wed Nov 15 2017 09:18:18 GMT+0600 (Bangladesh Standard Time), Line 19, temperature reading 42.68 C
Wed Nov 15 2017 09:18:19 GMT+0600 (Bangladesh Standard Time), Line 88, accelorometer reading 95.90 
Wed Nov 15 2017 09:18:19 GMT+0600 (Bangladesh Standard Time), Line 10, accelorometer reading 95.85 
Wed Nov 15 2017 09:18:19 GMT+0600 (Bangladesh Standard Time), Line 20, temperature reading 31.75 C
Wed Nov 15 2017 09:18:20 GMT+0600 (Bangladesh Standard Time), Line 59, humidity reding 87.11 %
Wed Nov 15 2017 09:18:20 GMT+0600 (Bangladesh Standard Time), Line 7, humidity reding 84.58 %
Wed Nov 15 2017 09:18:20 GMT+0600 (Bangladesh Standard Time), Line 21, temperature reading 44.76 C
Wed Nov 15 2017 09:18:21 GMT+0600 (Bangladesh Standard Time), Line 89, accelorometer reading 15.43 
Wed Nov 15 2017 09:18:21 GMT+0600 (Bangladesh Standard Time), Line 11, accelorometer reading 17.12 
Wed Nov 15 2017 09:18:21 GMT+0600 (Bangladesh Standard Time), Line 22, temperature reading 36.82 C
Wed Nov 15 2017 09:18:22 GMT+0600 (Bangladesh Standard Time), Line 23, temperature reading 33.43 C
Wed Nov 15 2017 09:18:23 GMT+0600 (Bangladesh Standard Time), Line 60, humidity reding 80.39 %
Wed Nov 15 2017 09:18:23 GMT+0600 (Bangladesh Standard Time), Line 90, accelorometer reading 3.20 
Wed Nov 15 2017 09:18:23 GMT+0600 (Bangladesh Standard Time), Line 8, humidity reding 81.35 %
Wed Nov 15 2017 09:18:23 GMT+0600 (Bangladesh Standard Time), Line 12, accelorometer reading 14.33 
Wed Nov 15 2017 09:18:23 GMT+0600 (Bangladesh Standard Time), Line 24, temperature reading 44.06 C
Wed Nov 15 2017 09:18:24 GMT+0600 (Bangladesh Standard Time), Line 25, temperature reading 40.20 C
Wed Nov 15 2017 09:18:25 GMT+0600 (Bangladesh Standard Time), Line 91, accelorometer reading 58.70 
Wed Nov 15 2017 09:18:25 GMT+0600 (Bangladesh Standard Time), Line 13, accelorometer reading 25.28 
Wed Nov 15 2017 09:18:25 GMT+0600 (Bangladesh Standard Time), Line 26, temperature reading 34.23 C
Wed Nov 15 2017 09:18:26 GMT+0600 (Bangladesh Standard Time), Line 61, humidity reding 78.76 %
Wed Nov 15 2017 09:18:26 GMT+0600 (Bangladesh Standard Time), Line 9, humidity reding 63.59 %
Wed Nov 15 2017 09:18:26 GMT+0600 (Bangladesh Standard Time), Line 27, temperature reading 32.26 C
Wed Nov 15 2017 09:18:27 GMT+0600 (Bangladesh Standard Time), Line 92, accelorometer reading 27.22 
Wed Nov 15 2017 09:18:27 GMT+0600 (Bangladesh Standard Time), Line 14, accelorometer reading 73.77 
Wed Nov 15 2017 09:18:27 GMT+0600 (Bangladesh Standard Time), Line 28, temperature reading 34.75 C
Wed Nov 15 2017 09:18:28 GMT+0600 (Bangladesh Standard Time), Line 29, temperature reading 40.80 C
Wed Nov 15 2017 09:18:29 GMT+0600 (Bangladesh Standard Time), Line 62, humidity reding 63.16 %
Wed Nov 15 2017 09:18:29 GMT+0600 (Bangladesh Standard Time), Line 93, accelorometer reading 25.06 
Wed Nov 15 2017 09:18:29 GMT+0600 (Bangladesh Standard Time), Line 10, humidity reding 72.72 %
Wed Nov 15 2017 09:18:29 GMT+0600 (Bangladesh Standard Time), Line 15, accelorometer reading 31.74 
Wed Nov 15 2017 09:18:29 GMT+0600 (Bangladesh Standard Time), Line 30, temperature reading 41.00 C
Wed Nov 15 2017 09:18:30 GMT+0600 (Bangladesh Standard Time), Line 31, temperature reading 35.67 C
Wed Nov 15 2017 09:18:31 GMT+0600 (Bangladesh Standard Time), Line 94, accelorometer reading 23.94 
Wed Nov 15 2017 09:18:31 GMT+0600 (Bangladesh Standard Time), Line 16, accelorometer reading 88.36 
Wed Nov 15 2017 09:18:31 GMT+0600 (Bangladesh Standard Time), Line 32, temperature reading 34.70 C
Wed Nov 15 2017 09:18:32 GMT+0600 (Bangladesh Standard Time), Line 63, humidity reding 96.39 %
Wed Nov 15 2017 09:18:32 GMT+0600 (Bangladesh Standard Time), Line 11, humidity reding 85.46 %
Wed Nov 15 2017 09:18:32 GMT+0600 (Bangladesh Standard Time), Line 33, temperature reading 30.36 C
Wed Nov 15 2017 09:18:33 GMT+0600 (Bangladesh Standard Time), Line 95, accelorometer reading 63.35 
Wed Nov 15 2017 09:18:33 GMT+0600 (Bangladesh Standard Time), Line 17, accelorometer reading 20.28 
Wed Nov 15 2017 09:18:33 GMT+0600 (Bangladesh Standard Time), Line 34, temperature reading 41.50 C
Wed Nov 15 2017 09:18:34 GMT+0600 (Bangladesh Standard Time), Line 35, temperature reading 38.35 C
Wed Nov 15 2017 09:18:35 GMT+0600 (Bangladesh Standard Time), Line 64, humidity reding 48.08 %
Wed Nov 15 2017 09:18:35 GMT+0600 (Bangladesh Standard Time), Line 96, accelorometer reading 1.97 
Wed Nov 15 2017 09:18:35 GMT+0600 (Bangladesh Standard Time), Line 12, humidity reding 98.10 %
Wed Nov 15 2017 09:18:35 GMT+0600 (Bangladesh Standard Time), Line 18, accelorometer reading 72.44 
Wed Nov 15 2017 09:18:35 GMT+0600 (Bangladesh Standard Time), Line 36, temperature reading 44.96 C
Wed Nov 15 2017 09:18:36 GMT+0600 (Bangladesh Standard Time), Line 37, temperature reading 41.11 C
Wed Nov 15 2017 09:18:37 GMT+0600 (Bangladesh Standard Time), Line 97, accelorometer reading 16.99 
Wed Nov 15 2017 09:18:37 GMT+0600 (Bangladesh Standard Time), Line 19, accelorometer reading 75.76 
Wed Nov 15 2017 09:18:37 GMT+0600 (Bangladesh Standard Time), Line 38, temperature reading 35.54 C
Wed Nov 15 2017 09:18:38 GMT+0600 (Bangladesh Standard Time), Line 65, humidity reding 60.41 %
Wed Nov 15 2017 09:18:38 GMT+0600 (Bangladesh Standard Time), Line 13, humidity reding 42.53 %
Wed Nov 15 2017 09:18:38 GMT+0600 (Bangladesh Standard Time), Line 39, temperature reading 36.74 C
Wed Nov 15 2017 09:18:39 GMT+0600 (Bangladesh Standard Time), Line 98, accelorometer reading 14.87 
Wed Nov 15 2017 09:18:39 GMT+0600 (Bangladesh Standard Time), Line 20, accelorometer reading 50.75 
Wed Nov 15 2017 09:18:39 GMT+0600 (Bangladesh Standard Time), Line 40, temperature reading 31.39 C
Wed Nov 15 2017 09:18:40 GMT+0600 (Bangladesh Standard Time), Line 41, temperature reading 38.12 C
Wed Nov 15 2017 09:18:41 GMT+0600 (Bangladesh Standard Time), Line 66, humidity reding 83.16 %
Wed Nov 15 2017 09:18:41 GMT+0600 (Bangladesh Standard Time), Line 99, accelorometer reading 91.53 
Wed Nov 15 2017 09:18:41 GMT+0600 (Bangladesh Standard Time), Line 14, humidity reding 53.94 %
Wed Nov 15 2017 09:18:41 GMT+0600 (Bangladesh Standard Time), Line 21, accelorometer reading 39.60 
Wed Nov 15 2017 09:18:41 GMT+0600 (Bangladesh Standard Time), Line 42, temperature reading 34.86 C
Wed Nov 15 2017 09:18:42 GMT+0600 (Bangladesh Standard Time), Line 43, temperature reading 31.92 C
Wed Nov 15 2017 09:18:43 GMT+0600 (Bangladesh Standard Time), 
Wed Nov 15 2017 09:18:43 GMT+0600 (Bangladesh Standard Time), Line 22, accelorometer reading 82.77 
Wed Nov 15 2017 09:18:43 GMT+0600 (Bangladesh Standard Time), Line 44, temperature reading 40.04 C
Wed Nov 15 2017 09:18:44 GMT+0600 (Bangladesh Standard Time), Line 67, humidity reding 92.80 %
Wed Nov 15 2017 09:18:44 GMT+0600 (Bangladesh Standard Time), Line 15, humidity reding 90.69 %
Wed Nov 15 2017 09:18:44 GMT+0600 (Bangladesh Standard Time), Line 45, temperature reading 30.24 C
Wed Nov 15 2017 09:18:45 GMT+0600 (Bangladesh Standard Time), Line 23, accelorometer reading 71.05 
Wed Nov 15 2017 09:18:45 GMT+0600 (Bangladesh Standard Time), Line 46, temperature reading 36.44 C
Wed Nov 15 2017 09:18:46 GMT+0600 (Bangladesh Standard Time), Line 47, temperature reading 34.03 C
Wed Nov 15 2017 09:18:47 GMT+0600 (Bangladesh Standard Time), Line 68, humidity reding 50.30 %
Wed Nov 15 2017 09:18:47 GMT+0600 (Bangladesh Standard Time), Line 16, humidity reding 62.72 %
Wed Nov 15 2017 09:18:47 GMT+0600 (Bangladesh Standard Time), Line 24, accelorometer reading 54.92 
Wed Nov 15 2017 09:18:47 GMT+0600 (Bangladesh Standard Time), Line 48, temperature reading 35.75 C
Wed Nov 15 2017 09:18:48 GMT+0600 (Bangladesh Standard Time), Line 49, temperature reading 36.15 C
Wed Nov 15 2017 09:18:49 GMT+0600 (Bangladesh Standard Time), Line 25, accelorometer reading 69.27 
Wed Nov 15 2017 09:18:49 GMT+0600 (Bangladesh Standard Time), Line 50, temperature reading 32.12 C
Wed Nov 15 2017 09:18:50 GMT+0600 (Bangladesh Standard Time), Line 69, humidity reding 76.74 %
